TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,MODEL
2033.75,0.02935037374467487,0.0,0.012957878973996403,0.9148936170212748,0.3134296665338045,0.6185126835332546,0.41668745771035365,0.0,0.6132129251668652,0.01744391264426738,0.004890611735956669,0.024120817934935562,0.03395903504664644,0.008735512388741854,0.008735512388741854,0.008762553416316328,0.4107890093699843,0.2950349743110067,0.8956512550782313,0.9126743328563471,0.4992693550416871,0.3134296665338045,Monaghan
2034.0,0.029347240538772218,0.0,0.012827526024812262,0.9148936170212748,0.3091578165220835,0.6222909333177157,0.4169540266168086,0.0,0.6119205836750992,0.01740871763085928,0.0049138511809296796,0.024157432040053342,0.033735245407388016,0.008791915808230528,0.008791915808230528,0.008789146187145418,0.4072113826485974,0.29615050062012366,0.8930900573160501,0.9067121691449593,0.503094280581533,0.3091578165220835,Monaghan
2034.25,0.029344059786625475,0.0,0.012698238209850053,0.9148936170212748,0.3049761126060359,0.6260298027988535,0.4172231309830908,0.0,0.610670442250868,0.017347602746124104,0.004937095037807634,0.02419230825398388,0.03351567838466164,0.00884688155506157,0.00884688155506157,0.008814216379164696,0.4025502460328936,0.2973032699020786,0.8906453329947325,0.9010019558405059,0.5069398208554968,0.3049761126060359,Monaghan
2034.5,0.029340832552361487,0.0,0.01257450646888224,0.9148936170212748,0.30095909854431513,0.6297304543069892,0.41748509514541965,0.0,0.6094443344493823,0.017291216428380673,0.004960332304488554,0.024225019813490057,0.033309566506827204,0.008900832371755268,0.008900832371755268,0.008839383753997895,0.3981159343773312,0.2984457881446324,0.8881125402952244,0.8957099146030225,0.5105983123051104,0.30095909854431513,Monaghan
2034.75,0.029337558458277756,0.0,0.012456745188312274,0.9148936170212748,0.29711503943937895,0.6333877855258837,0.41773733478779224,0.0,0.6082397457340833,0.01723937947940415,0.0049835555111380015,0.024255734367984488,0.033117462163417516,0.008953872015615639,0.008953872015615639,0.008864721242393285,0.39389388307087925,0.29957545992131,0.8854932335940044,0.8908459112032114,0.5140748238349204,0.29711503943937895,Monaghan
2035.0,0.029334237116939582,0.0,0.012345341345849655,0.9148936170212748,0.2934510524472973,0.6365266428092717,0.4179770539046704,0.0,0.6070542273413176,0.017191925569487364,0.005006758082937714,0.024284612470679652,0.03293987012709794,0.009006104182538987,0.009006104182538987,0.008890299919657644,0.38987042993328797,0.30068980782942656,0.8827887560908039,0.8864190738057941,0.5173745160190419,0.2934510524472973,Monaghan
2035.25,0.029330868129617264,0.0,0.012240635643639987,0.9148936170212748,0.28997315552495334,0.6395505108413587,0.4182013310327648,0.0,0.6058854802514652,0.017148699124328034,0.005029934303870627,0.02431180732739365,0.032777207793907796,0.009057630589983384,0.009057630589983384,0.00891618644210002,0.3860328756391035,0.30178654458059745,0.8800005154035506,0.8824365582574463,0.520502751983949,0.28997315552495334,Monaghan
2035.5,0.029327449460704796,0.0,0.01213900432729603,0.9148936170212748,0.28659444318134014,0.6425064471687474,0.418416889349918,0.0,0.6047464063484463,0.017109286458645057,0.005053079267988063,0.024337340696839807,0.03262156310247024,0.009108202536150804,0.009108202536150804,0.00894193346799628,0.38239218283241977,0.3028783175461007,0.8771782334246666,0.8786625414344279,0.5234999693289039,0.28659444318134014,Monaghan
2035.75,0.029323980639127212,0.0,0.012040973645237332,0.9148936170212748,0.2833260976430568,0.6453966295724823,0.41862287007812304,0.0,0.603633981611234,0.017073537376936527,0.005076186149129451,0.024361352048613387,0.03247387499571722,0.00915790503073762,0.00915790503073762,0.008967619983251384,0.3789349006068231,0.30396241911873007,0.8743206404328915,0.875119765449432,0.5263668309948413,0.2833260976430568,Monaghan
2036.0,0.029320461207725922,0.0,0.011947000557149394,0.9148936170212748,0.28017764063252365,0.6482220269115275,0.4188180924573841,0.0,0.6025454402817602,0.01704131107978197,0.005099248937294275,0.024383973603828067,0.03233493482511745,0.00920682102242815,0.00920682102242815,0.00899331803406425,0.3756486528071698,0.3050364005825333,0.8714268486651097,0.8718272015578553,0.5291047534329838,0.28017764063252365,Monaghan
